aalib 1.4rc5-10
abs 2.4.4-2
accountsservice 0.6.39-1
acl 2.2.52-2
adwaita-icon-theme 3.14.1-1
alsa-lib 1.0.28-1
alsa-plugins 1.0.28-2
alsa-utils 1.0.28-1
apache 2.4.10-1
apr 1.5.1-1
apr-util 1.5.4-1
archlinux-keyring 20141218-1
aspell 0.60.6.1-2
at-spi2-atk 2.14.1-1
at-spi2-core 2.14.1-1
atk 2.14.0-1
atkmm 2.22.7-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.14.1-1
avahi 0.6.31-14
baobab 3.14.1-1
bash 4.3.030-1
bash-completion 2.1-5
bc 1.06.95-1
binutils 2.25-1
bison 3.0.2-1
bluez 5.27-1
bluez-utils 5.27-1
btrfs-progs 3.17.3-1
bzip2 1.0.6-5
ca-certificates 20140923-9
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.17.3-2
ca-certificates-utils 20140923-9
cairo 1.14.0-2
cairomm 1.10.0-3
cantarell-fonts 0.0.16-1
caribou 0.4.15-1
cdparanoia 10.2-5
celt 0.11.3-2
cheese 3.14.2-1
chromaprint 1.1-2
chromium 39.0.2171.95-1
cifs-utils 6.3-2
cloog 0.18.1-3
clutter 1.20.0-2
clutter-gst 2.0.12-1
clutter-gtk 1.6.0-1
cogl 1.18.2-1
colord 1.2.7-2
colord-gtk 0.1.25-2
compositeproto 0.4.2-3
confuse 2.7-3
coreutils 8.23-1
cracklib 2.9.1-1
cronie 1.4.12-1
cryptsetup 1.6.6-1
cups-pk-helper 0.2.5-1
curl 7.39.0-1
damageproto 1.2.1-3
db 5.3.28-2
dbus 1.8.12-1
dbus-glib 0.102-2
dconf 0.22.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.114-1
dhcpcd 6.6.7-1
dialog 1:1.2_20140911-1
diffutils 3.3-2
djvulibre 3.5.25.3-2
dnssec-anchors 20140629-1
docbook-xml 4.5-6
docbook-xsl 1.78.1-1
dotconf 1.3-4
e2fsprogs 1.42.12-1
elfutils 0.160-1
empathy 3.12.7-1
enca 1.16-1
enchant 1.6.0-5
eog 3.14.3-1
epiphany 3.14.2-1
evince 3.14.1-2
evolution 3.12.9-1
evolution-data-server 3.12.9-1
exempi 2.2.1-2
exiv2 0.24-1
expat 2.1.0-4
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
farstream 0.2.4-1
ffmpeg 1:2.5.2-2
fftw 3.3.4-1
file 5.21-3
filesystem 2014.10-3
findutils 4.4.2-6
firefox 34.0.5-1
firefox-i18n-de 34.0.5-1
firefox-i18n-en-us 34.0.5-1
fixesproto 5.0-3
flac 1.3.1-1
flex 2.5.39-1
fluidsynth 1.1.6-4
folks 0.10.0-1
fontconfig 2.11.1-1
fontsproto 2.1.3-1
freetype2 2.5.5-1
fribidi 0.19.6-2
fuse 2.9.3-2
gawk 4.1.1-1
gc 7.4.2-2
gcc 4.9.2-2
gcc-libs 4.9.2-2
gcr 3.14.0-1
gd 2.1.0-3
gdbm 1.11-1
gdk-pixbuf2 2.31.1-1
gdm 3.14.1-2
gedit 3.14.2-1
geoclue 0.12.99-2
geoclue2 2.1.10-1
geocode-glib 3.14.0-1
gettext 0.19.3-1
ghostscript 9.15-1
giflib 5.1.0-1
git 2.2.1-1
gjs 1.42.0-1
glib-networking 2.42.0-1
glib2 2.42.1-1
glibc 2.20-6
glibmm 2.42.0-1
glu 9.0.0-3
gmime 2.6.20-2
gmp 6.0.0-1
gnome-backgrounds 3.14.1-1
gnome-bluetooth 3.14.0-1
gnome-calculator 3.14.1-1
gnome-color-manager 3.14.2-1
gnome-contacts 3.14.2-1
gnome-control-center 3.14.2-1
gnome-desktop 1:3.14.2-1
gnome-dictionary 3.14.2-1
gnome-disk-utility 3.14.0-1
gnome-font-viewer 3.14.0-1
gnome-icon-theme 3.12.0-2
gnome-icon-theme-extras 3.12.0-1
gnome-icon-theme-symbolic 3.12.0-2
gnome-keyring 3.14.0-1
gnome-menus 3.10.1-2
gnome-online-accounts 3.14.2-1
gnome-screenshot 3.14.0-1
